Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Acer Liquid Z220,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2015,120,125.3,64,9.6,Accelerometer,97.25,IPS,4,480,800,android 5,microsdhc,8388608,1048576,Li-Ion,1300,1,720
Acer Liquid M220,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,119,124.9,64,9.6,"Accelerometer, proximity",86.28,TFT,4,480,800,Microsoft Windows Phone 8.1,microsdhc,8388608,1048576,Li-Ion,1300,1,Yes
Acer Liquid Z410,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE Cat4 150/50 Mbps",2015,145,136,66.7,9.9,"Accelerometer, proximity",133.06,IPS,4.5,540,960,android 4,microsdhc,16777216,2097152,Li-Po,2000,1,Other
Acer Liquid Jade S,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"3, 8, 28 - Taiwan",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2014,116,143,69,7.8,"Accelerometer, proximity, compass",201.4,IPS,5,720,1280,android 4,microsdhc,16777216,2097152,Li-Ion,2300,1,1080
Acer Liquid Z500,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2014,150,145,73,8.8,"Accelerometer, proximity",158.61,IPS,5,720,1280,android 4,microsdhc,16777216,4194304,Li-Ion,2000,1,1080
Acer Liquid X1,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7",,,,"HSPA, LTE",2014,164,153.3,80.4,8.5,"Accelerometer, proximity, compass",263.03,IPS,5.7,720,1280,android 4,microsdhc,16777216,2097152,Li-Ion,2700,1,1080
Acer Liquid Jade,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2014,110,140.5,69,7.5,"Accelerometer, proximity, compass",180.83,IPS,5,720,1280,android 4,microsdhc,16777216,2097152,Li-Ion,2100,1,1080
Acer Liquid E700,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2014,155,147.3,73,9.9,"Accelerometer, proximity",200.87,IPS,5,720,1280,android 4,microsdhc,16777216,4194304,Li-Ion,3500,1,1080
Acer Liquid E600,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2014,155,147,72,9.5,"Accelerometer, proximity",207.63,IPS,5,480,854,android 4,microsdhc,16777216,4194304,Li-Ion,2500,1,Yes
Acer Liquid Z200,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2014,130,126,65,10.3,Accelerometer,95.43,TFT,4,480,800,android 4,microsdhc,4194304,524288,Li-Ion,1300,1,Yes
Acer Iconia Tab 8 A1-840FHD,Acer,No cellular connectivity, N/A,,,,No,No,,2014,360,215,130,8.5,Accelerometer,207.26,IPS,8,1200,1920,android 4,microsdhc,33554432,2097152,Li-Ion,4600,1,Yes
Acer Iconia Tab 7 A1-713,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,2014,298,,,8.9,Accelerometer,116.57,TFT,7,600,1024,android 4,microsdhc,16777216,1048576,Li-Ion,3400,1,Yes
Acer Iconia Tab 7 A1-713HD,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,2014,298,,,8.9,Accelerometer,154.83,IPS,7,800,1280,android 4,microsdhc,16777216,1048576,Li-Ion,3400,1,Yes
Acer Iconia One 7 B1-730,Acer,No cellular connectivity, N/A,,,,No,No,,2014,,,,8.9,Accelerometer,98.76,IPS,7,800,1280,android 4,microsdhc,8388608,1048576,Li-Ion,3700,1,Yes
Acer Liquid E3 Duo Plus,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2014,,138,69,8.9,"Accelerometer, proximity",243.41,IPS,4.7,720,1280,android 4,microsdhc,16777216,2097152,Li-Ion,2000,1,Yes
