Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Motorola WX295,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2010,83,96,46.5,16.7,,54.81,TFT,1.8,128,160,,microsd,,,Li-Ion,750,1,No
Motorola FlipOut,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2010,120,67,67,17,"Accelerometer, proximity, compass",95.77,TFT,2.8,320,240,android 2,microsdhc,524288,524288,Li-Ion,1130,1,CIF
Motorola WX290,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2010,83,107.6,45.3,14.3,,45.57,TFT,1.77,128,160,,microsd,,,Li-Ion,750,1,No
Motorola WX265,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2010,83,96,46.5,16.7,,76.8,TFT,1.77,128,160,,microsd,,,Li-Ion,750,0,
Motorola WX260,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2010,83,107.6,45.3,14.3,,75.27,TFT,1.8,128,160,,microsd,,,Li-Ion,750,0,
Motorola WX181,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2010,83,108,46,14.8,,36.31,CSTN,1.5,128,128,,no,,,Li-Ion,750,0,
Motorola WX161,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2010,70,108,46,14.8,,30.65,Monochrome,1.32,64,96,,no,,,Li-Ion,750,0,
Motorola QUENCH,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2010,130,116.8,60,12.4,"Accelerometer, proximity, compass",108.35,TFT,3.1,320,480,android 1,microsdhc,524288,262144,Li-Po,1420,1,CIF
Motorola BACKFLIP,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2010,133,108,53,15.3,"Accelerometer, proximity, compass",150.96,TFT,3.1,320,480,android 1,microsdhc,524288,262144,Li-Ion,1400,1,CIF
Motorola XT800 ZHISHANG,Motorola,GSM / CDMA / EVDO,GSM 850 / 900 / 1800 / 1900 ,CDMA2000 1xEV-DO ,,,,,EV-DO Rev.A 3.1 Mbps,2009,137,120,61.8,11.4,"Accelerometer, proximity, compass",237.08,TFT,3.7,480,854,android 2,microsdhc,1048576,524288,Li-Po,1390,1,480
Motorola XT701,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 10.2/5.76 Mbps,2009,140,116,60.9,10.9,"Accelerometer, proximity, compass",232.71,TFT,3.7,480,854,android 2,microsdhc,524288,262144,Li-Po,1420,1,480
Motorola MT710 ZHILING,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 , HSDPA,,,Class 10,Class 10,HSPA,2009,125,118,59.5,12.3,Accelerometer,230.78,TFT,3.7,480,854,android,microsdhc,4194304,262144,Li-Po,1140,1,320
Motorola MOTO XT702,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA,2009,165,115.8,60,13.7,"Accelerometer, proximity, compass",156.89,TFT,3.7,480,854,android 2,microsdhc,524288,262144,Li-Ion,1390,1,480
Motorola MILESTONE,Motorola,GSM / UMTS / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 10.2/5.76 Mbps,2009,165,115.8,60,13.7,"Accelerometer, proximity, compass",133.94,TFT,3.7,480,854,android 2,microsdhc,262144,136192,Li-Ion,1400,1,480
Motorola WX395,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2009,83,105,44.9,12,,73.56,CSTN,1.75,128,160,,microsd,,,Li-Ion,650,1,No
Motorola WX390,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2009,83,105,44.9,12,,65.95,CSTN,1.8,128,160,,microsd,,,Li-Ion,650,1,No
Motorola WX288,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2009,66,107,46,12.2,,64.27,CSTN,1.8,128,160,,no,,,Li-Ion,650,1,No
Motorola WX280,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2009,66,107,46,12.2,,44.8,CSTN,1.8,128,160,,no,,,Li-Ion,650,1,No
Motorola WX180,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2009,65,106,46,14.5,,21.23,CSTN,1.5,128,128,,no,,,Li-Ion,650,0,
Motorola WX160,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2009,65,106,46,14.5,,33.52,Monochrome,1.3,64,96,,no,,,Li-Ion,650,0,
Motorola Motocubo A45,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,110,82,61.5,16.6,,107.18,TFT,2.5,320,240,,microsdhc,32768,,Li-Ion,930,1,Other
Motorola DEXT MB220,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2009,163,114,58,15.6,"Accelerometer, proximity, compass",134.91,TFT,3.1,320,480,android 1,microsdhc,1048576,262144,Li-Ion,1420,1,320
Motorola ROKR ZN50,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 7.2/0.384 Mbps,2009,143,108.9,54,14.3,Accelerometer,148.64,TFT,3.2,240,427,,microsdhc,,,Li-Ion,950,1,Yes
Motorola Karma QA1,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA,2009,141,88,64,17.9,,111.3,TFT,2.5,320,240,,microsdhc,102400,,Li-Ion,1170,1,Other
Motorola L800t,Motorola,GSM,GSM 900 / 1800 / 1900 , TD-SCDMA,,,Class 10,Class 10,,2009,110,117,49,15,,106.1,TFT,1.9,176,220,,no,65536,,Li-Ion,1130,1,Yes
Motorola W7 Active Edition,Motorola,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 1900 / 2100 ,,,,,"Yes, 384 kbps",2009,105,99,49,15,Accelerometer,78.23,TFT,2.2,240,320,,microsdhc,30720,,Li-Ion,910,1,CIF
Motorola ROKR W6,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,107,99,46,17.5,,77.16,TFT,1.9,176,220,,microsd,20480,,Li-Ion,880,1,Yes
Motorola MC55,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2009,336,152,77,27,,156.56,TFT,3.5,240,320,Microsoft Windows Mobile 6.1 Professional,microsdhc,262144,131072,Li-Ion,2400,1,Yes
Motorola ZN300,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,103,95.6,46,15,,63.36,TFT,,240,320,Linux / Java-based MOTOMAGX,microsdhc,8192,,Li-Ion,940,1,Other
Motorola E11,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,Class 10,,2009,139,108,57,14.2,,128.55,TFT,2.8,240,320,,microsd,,,Li-Ion,910,1,Yes
Motorola A3100,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,2009,119,110,59.7,13.7,,154.98,TFT,2.8,240,320,Microsoft Windows Mobile 6.1 Professional,microsdhc,262144,131072,Li-Ion,1170,1,Yes
Motorola A3000,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2009,119,109,60,13.8,,135,TFT,2.8,240,320,Microsoft Windows Mobile 6.1 Professional,microsdhc,262144,131072,Li-Ion,1130,1,Yes
Motorola Tundra VA76r,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 3.6/0.384 Mbps,2009,107,98,53.8,24,,151.11,TFT,2.2,240,320,Linux / Java-based MOTOMAGX,microsdhc,102400,,Li-Ion,1130,1,Yes
Motorola W233 Renew,Motorola,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2009,83,111,45,14.7,,50.05,CSTN,1.6,128,128,,microsd,,,Li-Ion,,0,
Motorola COCKTAIL VE70,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,HSPA 7.2/3.6 Mbps,2008,123,105,51,20,,135.37,TFT,2.2,240,320,Linux / Java-based MOTOMAGX,microsdhc,36864,,Li-Ion,700,1,Yes
Motorola VE66,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,121,103,49.5,15.2,,104.83,TFT,2.2,240,320,Linux / Java-based MOTOMAGX,microsd,262144,112640,Li-Ion,810,1,Yes
Motorola EM35,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,116,107,49.5,16,,98.52,TFT,2.2,320,240,Linux / Java-based MOTOMAGX,microsdhc,112640,,Li-Ion,810,1,Yes
Motorola Aura,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,141,96.9,47.6,18.6,,532.74,TFT,1.55,,480,,no,2097152,,Li-Ion,810,1,Yes
Motorola Q 11,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2008,115,117,64,11.7,,156.73,TFT,2.4,320,240,Microsoft Windows Mobile 6.1 Standard,microsdhc,131072,65536,Li-Ion,1170,1,Other
Motorola VE538,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2008,83,107,46,16,,78.13,TFT,2,240,320,,microsdhc,10240,,Li-Ion,,1,Yes
Motorola RAZR2 V9x,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2008,125,103,53,13,,133.09,TFT,2.2,240,320,,microsdhc,46080,,Li-Ion,950,1,CIF
Motorola ZN200,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,115,105,47,15.9,,83.71,TFT,1.9,176,220,Linux / Java-based MOTOMAGX,microsd,30720,,Li-Ion,,1,Yes
Motorola W396,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008,94,95,45,17,,55.81,TFT,1.8,128,160,,microsd,,,Li-Ion,940,1,No
Motorola W231,Motorola,GSM,GSM 900 / 1800 ,,,,Class 8,No,,2008,85,108,44,14.9,,44.61,CSTN,1.6,128,128,,microsd,1024,,Li-Ion,,0,
Motorola EM30,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,100,115,53,10.6,,61.45,TFT,2,320,240,Linux / Java-based MOTOMAGX,microsdhc,,,Li-Ion,970,1,Yes
Motorola EM28,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2008,90,94,49.5,17,,61.99,TFT,1.8,128,160,,microsd,,,Li-Ion,940,1,Yes
Motorola EM25,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008,90,101,46,13.9,,57.51,TFT,1.8,128,160,,microsd,,,Li-Ion,780,1,No
Motorola PEBL VU20,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/3.6 Mbps,2008,103,100,48.9,18.9,,151.75,TFT,2.2,240,320,,microsdhc,,,Li-Ion,950,1,Yes
Motorola MOTOACTV W450,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2008,99,106,45.7,18.8,,51.63,TFT,,128,160,,microsd,,,Li-Ion,850,1,Yes
Motorola VE75,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2008,137,112,51,20,,117.2,TFT,2.6,240,400,,microsd,,,Li-Ion,850,1,No
Motorola ZN5,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,114,118,50.5,12,,107.67,TFT,2.4,240,320,Linux / Java-based MOTOMAGX,microsdhc,358400,,Li-Ion,950,1,Other
Motorola A1210,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,125,102,53.8,20.5,,127.66,TFT,2.8,240,400,Linux,microsdhc,30720,,Li-Ion,1130,1,Other
Motorola A1600,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2008,128,98.9,53.5,19.6,,128.39,TFT,2.4,240,320,Linux,microsdhc,27648,,Li-Ion,930,1,Yes
Motorola A1890,Motorola,GSM,GSM 900 / 1800 / 1900 / CDMA 800, EV-DO 800,,,Class 10,No,,2008,132,95.3,52.5,25,,148.95,TFT,2.4,240,320,Linux,microsdhc,178176,,Li-Ion,1000,1,Yes
Motorola A1800,Motorola,GSM,GSM 900 / 1800 / 1900 / CDMA 800,,,,Class 10,No,,2008,132,95.3,52.5,25,,124.15,TFT,2.4,240,320,Linux,microsdhc,,,Li-Ion,1000,1,Yes
Motorola A810,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2008,100,105,51,14,,64.95,TFT,2.2,240,320,,microsd,,,Li-Ion,910,1,Yes
Motorola W388,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008,86,109,46,14.7,,32.62,TFT,1.8,128,160,,microsd,7680,,Li-Ion,940,1,No
Motorola Z9,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 3.6/0.384 Mbps,2008,139,114,53,14,,90.61,TFT,2.4,240,320,,microsd,,,Li-Ion,920,1,Yes
Motorola Z6w,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2008,110,105,45,17.3,,80.88,TFT,2,240,320,Linux / Java-based MOTOMAGX,microsd,65536,,Li-Ion,950,1,CIF
Motorola Z6c,Motorola,GSM,GSM 900 / 1800 , CDMA 1xEVDO (800 / 1900 MHz),,,Yes,No,,2007,105,107,46,16,,126.53,TFT,2,240,320,,microsd,40960,,Li-Ion,930,1,Yes
Motorola W181,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2008,80,110,45,15,,34.38,CSTN,1.6,128,128,,no,,,Li-Ion,850,0,
Motorola W177,Motorola,GSM,GSM 850 / 1900 ,,,,No,No,,2008,82,113.8,42.9,14,,22.98,TFT,1.6,128,128,,no,,,Li-Ion,,0,
Motorola W161,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2008,85,114,43,14,,31.15,Monochrome,,128,128,,no,,,Li-Ion,,0,
Motorola W270,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008,94,95,45,17,,35.9,CSTN,1.6,128,128,,microsd,,,Li-Ion,940,0,
Motorola W230,Motorola,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008,80,110,45,14.7,,30.9,CSTN,1.6,128,128,,microsd,,,Li-Ion,940,0,
Motorola RIZR Z10,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2007,119,109.7,50.7,16.8,,155.58,TFT,2.2,240,320,"Symbian 9.2, UIQ 3.2",microsdhc,131072,71680,Li-Ion,1130,1,320
Motorola ROKR E8,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2007,100,115,53,10.6,,78.1,TFT,2,320,240,Linux / Java-based MOTOMAGX,microsd,2097152,,Li-Ion,970,1,Yes
Motorola W377,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,,2007,95,99,45,18.6,,72.86,TFT,1.8,128,160,,no,10240,,Li-Ion,,1,No
Motorola W213,Motorola,GSM,GSM 900 / 1800 ,,,,Yes,No,,2007,78,108,44,14.9,,74.06,CSTN,1.55,128,128,,no,1024,,Li-Ion,,0,
Motorola W180,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,85,114,43,14,,35.55,CSTN,1.7,128,128,,no,,,Li-Ion,,0,
Motorola W160,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,85,114,43,14,,22.75,Monochrome,,128,128,,no,,,Li-Ion,,0,
Motorola U9,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2007,87,90,48.6,16.4,,75.26,TFT,2,240,320,Linux / Java-based MOTOMAGX,microsd,25600,,Li-Ion,,1,Yes
Motorola V1100,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2007,115,100,48,18.9,,85.09,TFT,,240,320,,no,65536,,Li-Ion,1130,1,Yes
Motorola PEBL U3,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2007,105,87.5,49,22.2,,63.28,TFT,1.9,128,160,,no,10240,,Li-Ion,900,1,Yes
Motorola RAZR2 V9,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2007,125,103,53,13.3,,102.85,TFT,2.2,240,320,,microsd,46080,,Li-Ion,950,1,CIF
Motorola RAZR2 V8,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 12,,2007,117,103,53,11.9,,123.85,TFT,2.2,240,320,Linux / Java-based MOTOMAGX,no,2097152,,Li-Ion,770,1,CIF
Motorola ROKR W5,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2007,107,99,46,17.5,,100.04,TFT,1.9,176,220,,microsd,20480,,Li-Ion,880,1,Yes
Motorola W490,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2007,107,98.8,48,17.3,,52.22,TFT,1.9,176,220,,microsd,5120,,Li-Ion,,1,Yes
Motorola W395,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2007,97,99,45,18.1,,81.99,TFT,,128,160,,microsd,5120,,Li-Ion,850,1,Yes
Motorola W380,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,,2007,97,99,45,18.2,,86.66,TFT,,128,160,,no,7168,,Li-Ion,850,1,Yes
Motorola W360,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,98,113,47,11.9,,63.93,TFT,1.6,128,160,,no,5120,,Li-Ion,850,1,No
Motorola W218,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,78,109,45,15,,37.56,TFT,1.6,128,128,,no,,,Li-Ion,850,1,No
Motorola RIZR Z8,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2007,112,109,50,15,,111.21,TFT,2.2,240,320,"Symbian 9.2, UIQ 3.1",microsd,78848,,Li-Ion,1030,1,320
Motorola KRZR K3,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2007,110,103,42.3,16.3,,86.6,TFT,2,240,320,,microsd,51200,,Li-Ion,910,1,CIF
Motorola SLVR L9,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2007,96,113,49,11.5,,77.9,TFT,1.9,176,220,,microsd,20480,,Li-Ion,880,1,CIF
Motorola Q 9h,Motorola,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 - Q 9h,,,,,HSPA 3.6/0.384 Mbps,2007,134,118,67,11.8,,74.17,TFT,2.4,320,240,Microsoft Windows Mobile 6.0 Standard,microsdhc,262144,98304,Li-Ion,1170,1,Other
Motorola Q8,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2005,115,116,64,11.5,,153.23,TFT,2.4,320,240,Microsoft Windows Mobile 6.0 Standard Edition,minisd,40960,,Li-Ion,1170,1,Yes
Motorola W510,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2007,107,99,46,17.5,,52.75,TFT,1.9,176,220,,microsd,20480,,Li-Ion,880,1,Yes
Motorola W215,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,78,108,44,14.9,,44.97,TFT,,128,128,,no,1024,,Li-Ion,850,1,Yes
Motorola W205,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,78,108,44,14.9,,31.58,CSTN,,128,128,,no,1024,,Li-Ion,850,0,
Motorola ROKR Z6,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,,2007,105,105,45,16.2,,95.46,TFT,2.1,240,320,Linux / Java-based MOTOMAGX,microsd,65536,,Li-Ion,720,1,CIF
Motorola ROKR E6,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2006,121,111,51.5,14.5,,147.58,TFT,2.4,240,320,Linux,sd,8192,,Li-Ion,1000,1,CIF
Motorola SLVR L7e,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2006,96,113,49,11.5,,107.73,TFT,1.9,176,220,,microsd,20480,,Li-Ion,880,1,Yes
Motorola RAZR maxx V6,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 3.6/0.384 Mbps,2006,105,104,53,15,,141.26,TFT,2.2,240,320,,microsd,51200,,Li-Ion,940,1,Yes
Motorola RAZR V3xx,Motorola,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 3.6/0.384 Mbps,2006,107,103,53,15,,164.85,TFT,2.2,240,320,,microsd,51200,,Li-Ion,940,1,Yes
Motorola RIZR Z3,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Yes,,2006,115,106,46,16,,102.37,TFT,1.9,176,220,,microsd,16384,,Li-Ion,720,1,Yes
Motorola KRZR K1,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 12,,2006,102,103,42,16,,117.98,TFT,1.9,176,220,,microsd,20480,,Li-Ion,700,1,CIF
Motorola W209,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2007,78,108,44,14.9,,50.69,TFT,1.6,128,128,,no,,,Li-Ion,,0,
Motorola W375,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,,2006,88,99,45,18.6,,70.68,TFT,1.8,128,160,,no,1536,,Li-Ion,850,1,No
Motorola W208,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2006,78,108,44,14.9,,40.17,TFT,1.6,128,128,,no,,,Li-Ion,850,0,
Motorola MOTOFONE F3,Motorola,GSM,GSM 900 / 1800 ,,,,No,No,,2006,70,114,47,9,,44.56,Alphanumeric,2.2,2,6,,no,,,Li-Ion,800,0,
Motorola W220,Motorola,GSM,GSM 900 / 1800 ,,,,Class 8,No,,2006,93,95,46,16.7,,50.28,CSTN,1.6,128,128,,no,,,Li-Ion,880,0,
Motorola V195,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2006,100,91,47,23,,65.24,CSTN,,128,160,,no,5120,,Li-Ion,1000,0,
Motorola V191,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Yes,No,,2006,98,91.5,44.5,23.8,,63.65,CSTN,,128,160,,no,10240,,Li-Ion,,0,
Motorola ROKR E2,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 6,,2006,107,106,49.5,18,,135.31,TFT,2,240,320,Linux,sd,10240,,Li-Ion,850,1,Yes
Motorola RAZR V3i,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2005,100,98,53,13.9,,108.16,TFT,2.2,176,220,,microsd,10240,,Li-Ion,710,1,Yes
Motorola ROKR E1,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,2005,107,108,46,20.5,,104.96,TFT,1.9,176,220,,microsd,11264,,Li-Ion,830,1,CIF
Motorola A910,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,2005,127,93,51,23,,,TFT,,240,320,"Linux, JUIX UI",microsd,10240,,Li-Ion,1000,1,Yes
Motorola A1200,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2005,122,95.7,51.7,21.5,,164.89,TFT,2.4,240,320,Linux,microsd,,,Li-Ion,850,1,CIF
Motorola A728,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,,2005,120,101,53,21,,,TFT,,240,320,Linux,no,8192,,Li-Ion,,1,Yes
Motorola A732,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,2005,95,88,43,21.8,,,TFT,1.8,128,160,,microsd,,,Li-Ion,,1,Yes
Motorola E895,Motorola,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,2005,127,93,51,23,,,TFT,2.2,240,320,"Linux, JUIX UI",microsd,10240,,Li-Ion,1000,1,Yes
Motorola V3x,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,125,99,55,20,,138.99,TFT,2.2,240,320,,microsd,65536,,Li-Ion,840,1,Yes
Motorola E1070,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,129,96,50,23.5,,,TFT,2,240,320,,microsd,,,Li-Ion,1130,1,Yes
Motorola E770,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,115,111,46,20.7,,104.25,TFT,1.9,176,220,,microsd,32768,,Li-Ion,1020,1,Yes
Motorola SLVR L7,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2005,96,113,49,11.5,,96.98,TFT,1.9,176,220,,microsd,11264,,Li-Ion,820,1,Yes
Motorola PEBL U6,Motorola,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,,2005,110,86.5,49,20,,113.29,TFT,1.8,176,220,,no,5120,,Li-Ion,820,1,Yes
Motorola A1010,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,160,117,59,19,,,TFT,2.9,208,320,"Symbian 7.0, UIQ v2.1 UI",microsd,49152,,Li-Ion,,1,Yes
Motorola E1060,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,125,107,53,21,,,TFT,,320,240,,microsd,32768,,Li-Ion,,1,Yes
Motorola E1120,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,130,113,53,21,,,TFT,2.1,240,320,,microsd,64512,,Li-Ion,,1,Yes
Motorola V1050,Motorola,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps",2005,136,94,49,27,,,TFT,2.2,240,320,,microsd,16384,,Li-Ion,820,1,Yes
