DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
IPS,6.22,720.0,1520.0,android 10,microsdxc,134217728.0,33554432.0,Li-Po,4000.0,1,1080
TFT,2.8,240.0,320.0,kaios,microsdhc,4194304.0,524288.0,Li-Ion,1850.0,1,480
TFT,2.8,240.0,320.0,kaios,microsdhc,4194304.0,524288.0,Li-Ion,1350.0,1,720
TFT,2.8,240.0,320.0,kaios,microsdhc,8388608.0,1048576.0,Li-Ion,1350.0,1,720
IPS,10.1,800.0,1280.0,android 10,microsdxc,33554432.0,2097152.0,Li-Po,5500.0,1,720
IPS,6.52,720.0,1600.0,android 10,microsdxc,134217728.0,6291456.0,Li-Po,5000.0,1,1080
IPS,6.22,720.0,1520.0,android 10,microsdxc,67108864.0,4194304.0,Li-Po,4000.0,1,1080
IPS,6.22,720.0,1520.0,android 10,microsdxc,33554432.0,3145728.0,Li-Po,4000.0,1,1080
IPS,6.22,720.0,1520.0,android 10,microsdxc,33554432.0,2097152.0,Li-Po,4000.0,1,1080
IPS,5.5,720.0,1440.0,android 10,microsdxc,33554432.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,6.7,720.0,1440.0,android 9,microsdxc,33554432.0,3145728.0,Li-Po,4000.0,1,1080
IPS,6.52,720.0,1600.0,android 9,microsdxc,134217728.0,6291456.0,Li-Po,4000.0,1,1080
IPS,5.5,480.0,960.0,android 9,microsdxc,16777216.0,3145728.0,Li-Ion,2460.0,1,1080
IPS,8.0,800.0,1280.0,android 8,microsdxc,33554432.0,3145728.0,Li-Po,4080.0,1,1080
TFT,7.0,600.0,1024.0,android 9,microsdxc,16777216.0,1572864.0,Li-Ion,2580.0,1,
IPS,10.0,800.0,1280.0,android 8,microsdxc,16777216.0,2097152.0,Li-Ion,4080.0,1,720
IPS,5.94,720.0,1560.0,android 8,microsdxc,16777216.0,2097152.0,Li-Ion,3500.0,1,1080
IPS,5.94,720.0,1560.0,android 8,microsdxc,67108864.0,4194304.0,Li-Ion,3500.0,1,1080
IPS,5.5,720.0,1440.0,android 9,microsdxc,67108864.0,4194304.0,Li-Ion,3060.0,1,1080
IPS,5.5,720.0,1440.0,android 8,microsdxc,16777216.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,5.0,480.0,960.0,android 8,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,720
TFT,5.0,480.0,960.0,android 8,microsdhc,16777216.0,1048576.0,Li-Ion,2000.0,1,720
IPS,5.0,480.0,854.0,android 8,microsdxc,16777216.0,2097152.0,Li-Ion,2050.0,1,720
IPS,6.0,1080.0,2180.0,android 8,microsdxc,33554432.0,2097152.0,Li-Ion,4000.0,1,1080
IPS,6.2,720.0,1500.0,android 8,microsdxc,33554432.0,3145728.0,Li-Ion,4000.0,1,1080
IPS,5.7,720.0,1440.0,android 7,microsdxc,33554432.0,3145728.0,Li-Ion,3000.0,1,1080
IPS,6.0,1080.0,2160.0,android 8,microsdxc,33554432.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,5.7,720.0,1440.0,android 7,microsdxc,33554432.0,3145728.0,Li-Ion,3000.0,0,1080
IPS,5.5,720.0,1440.0,android 8,microsdxc,16777216.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,5.3,480.0,960.0,android 8,microsdhc,16777216.0,2097152.0,Li-Ion,2460.0,1,1080
IPS,6.0,720.0,1440.0,android 7,microsdxc,16777216.0,1048576.0,Li-Ion,3000.0,1,1080
TFT,2.4,240.0,320.0,kaios,no,4194304.0,524288.0,Li-Ion,1530.0,1,480
TFT,10.1,1280.0,800.0,android 8,microsdxc,16777216.0,1048576.0,Li-Ion,4000.0,1,720
TFT,7.0,600.0,1024.0,android 8,microsdxc,8388608.0,1048576.0,Li-Ion,2580.0,1,720
IPS,5.2,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0,Li-Ion,2850.0,1,1080
IPS,5.2,1080.0,1920.0,android 7,microsdxc,16777216.0,3145728.0,Li-Ion,2800.0,1,1080
IPS,6.0,1080.0,1920.0,android 7,microsdhc,33554432.0,3145728.0,Li-Ion,4000.0,1,1080
IPS,5.5,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0,Li-Ion,4000.0,1,1080
IPS,5.0,720.0,1280.0,android 7,microsdxc,8388608.0,1048576.0,Li-Ion,2200.0,1,1080
IPS,5.2,720.0,1280.0,android 7,microsdxc,16777216.0,2097152.0,Li-Ion,2800.0,1,1080
IPS,5.2,1080.0,1920.0,android 7,microsdxc,33554432.0,3145728.0,Li-Ion,2620.0,1,1080
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0,Li-Ion,3100.0,1,4K
IPS,5.0,480.0,854.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,2050.0,1,720
IPS,5.2,720.0,1280.0,android 6,microsdhc,33554432.0,3145728.0,Li-Ion,2800.0,1,1080
IPS,5.0,720.0,1280.0,android 6,microsdhc,16777216.0,1572864.0,Li-Ion,2460.0,1,1080
IPS,6.0,720.0,1280.0,android 7,microsdhc,16777216.0,2097152.0,Li-Ion,3000.0,1,1080
IPS,5.0,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0,Li-Ion,2460.0,1,720
IPS,5.5,720.0,1280.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,5000.0,1,Yes
IPS,5.5,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0,Li-Ion,2500.0,1,720
OLED,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0,Li-Po,2150.0,1,1080
IPS,5.0,480.0,854.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,720
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0,Li-Ion,3000.0,1,1080
TFT,7.0,600.0,1024.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,3240.0,1,Yes
IPS,5.5,1080.0,1920.0,android 6,microsdxc,16777216.0,2097152.0,Li-Ion,2960.0,1,1080
IPS,5.5,720.0,1280.0,android 6,microsdhc,16777216.0,1572864.0,Li-Ion,2500.0,1,720
IPS,5.0,720.0,1280.0,android 6,microsdxc,8388608.0,1048576.0,Li-Ion,2500.0,1,720
OLED,5.5,1080.0,1920.0,Microsoft Windows 10,microsdxc,67108864.0,4194304.0,Li-Ion,3000.0,1,4K
OLED,5.5,1440.0,2560.0,android 6,microsdxc,33554432.0,3145728.0,Li-Ion,3000.0,1,4K
IPS,5.2,1080.0,1920.0,android 6,microsdxc,16777216.0,3145728.0,Li-Ion,2610.0,1,1080
IPS,5.5,720.0,1280.0,Microsoft Windows 10,microsdhc,16777216.0,2097152.0,Li-Ion,2500.0,1,720
OLED,0.95,96.0,64.0,proprietary,no,,,Li-Ion,380.0,0,
TFT,7.0,600.0,1024.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,2580.0,1,720
IPS,6.0,540.0,960.0,android 5,microsdxc,8388608.0,1048576.0,Li-Ion,2580.0,1,1080
IPS,6.0,720.0,1280.0,android 5,microsdhc,16777216.0,1572864.0,Li-Ion,2580.0,1,1080
TFT,4.0,480.0,800.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,1500.0,1,1080
TFT,3.5,320.0,480.0,android 5,microsdhc,4194304.0,524288.0,Li-Ion,1300.0,1,480
IPS,8.0,800.0,1280.0,Microsoft Windows 10,microsdhc,8388608.0,1048576.0,Li-Ion,4060.0,1,1080
TFT,5.5,720.0,1280.0,android 5,microsdxc,8388608.0,1048576.0,Li-Ion,2910.0,1,1080
TFT,5.0,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,5.5,720.0,1280.0,android 5,microsdhc,16777216.0,2097152.0,Li-Ion,2500.0,1,720
IPS,1.22,240.0,204.0,proprietary,no,8192.0,,Li-Ion,210.0,0,
TFT,1.22,240.0,204.0,proprietary,no,8192.0,,Li-Ion,225.0,0,
IPS,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0,Li-Ion,3000.0,1,1080
