DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram
IPS,6.22,720.0,1520.0,android 10,microsdxc,134217728.0,33554432.0
TFT,2.8,240.0,320.0,kaios,microsdhc,4194304.0,524288.0
TFT,2.8,240.0,320.0,kaios,microsdhc,4194304.0,524288.0
TFT,2.8,240.0,320.0,kaios,microsdhc,8388608.0,1048576.0
IPS,10.1,800.0,1280.0,android 10,microsdxc,33554432.0,2097152.0
IPS,6.52,720.0,1600.0,android 10,microsdxc,134217728.0,6291456.0
IPS,6.22,720.0,1520.0,android 10,microsdxc,67108864.0,4194304.0
IPS,6.22,720.0,1520.0,android 10,microsdxc,33554432.0,3145728.0
IPS,6.22,720.0,1520.0,android 10,microsdxc,33554432.0,2097152.0
IPS,5.5,720.0,1440.0,android 10,microsdxc,33554432.0,2097152.0
IPS,6.7,720.0,1440.0,android 9,microsdxc,33554432.0,3145728.0
IPS,6.52,720.0,1600.0,android 9,microsdxc,134217728.0,6291456.0
IPS,5.5,480.0,960.0,android 9,microsdxc,16777216.0,3145728.0
IPS,8.0,800.0,1280.0,android 8,microsdxc,33554432.0,3145728.0
TFT,7.0,600.0,1024.0,android 9,microsdxc,16777216.0,1572864.0
IPS,10.0,800.0,1280.0,android 8,microsdxc,16777216.0,2097152.0
IPS,5.94,720.0,1560.0,android 8,microsdxc,16777216.0,2097152.0
IPS,5.94,720.0,1560.0,android 8,microsdxc,67108864.0,4194304.0
IPS,5.5,720.0,1440.0,android 9,microsdxc,67108864.0,4194304.0
IPS,5.5,720.0,1440.0,android 8,microsdxc,16777216.0,2097152.0
IPS,5.0,480.0,960.0,android 8,microsdhc,8388608.0,1048576.0
TFT,5.0,480.0,960.0,android 8,microsdhc,16777216.0,1048576.0
IPS,5.0,480.0,854.0,android 8,microsdxc,16777216.0,2097152.0
IPS,6.0,1080.0,2180.0,android 8,microsdxc,33554432.0,2097152.0
IPS,6.2,720.0,1500.0,android 8,microsdxc,33554432.0,3145728.0
IPS,5.7,720.0,1440.0,android 7,microsdxc,33554432.0,3145728.0
IPS,6.0,1080.0,2160.0,android 8,microsdxc,33554432.0,2097152.0
